1901,19,Andreas Isaksson ,Kasimpasa,GK
1902,19,Robin Olsen ,Kobenhavn,GK
1903,19,Patrik Carlgren ,AIK,GK
1904,19,Ludwig Augustinsson ,Kobenhavn,LB
1905,19,Erik Johansson ,Kobenhavn,CB
1906,19,Pontus Jansson ,Torino,CB
1907,19,Victor Lindelof ,Benfica,CB
1908,19,Mikael Lustig ,Celtic,RB
1909,19,Martin Olsson ,Norwich,CB
1910,19,Andreas Granqvist ,Krasnodar,CB
1911,19,Jimmy Durmaz ,Olympiakos,LM
1912,19,Albin Ekdal ,Hamburg,CM
1913,19,Oscar Hiljemark ,Palermo,CM
1914,19,Sebastian Larsson ,Sunderland,CM
1915,19,Pontus Wernbloom ,CSKA Moskva,CDM
1916,19,Erkan Zengin ,Trabzonspor,LW
1917,19,Oscar Lewicki ,Malmo,CDM
1918,19,Emil Forsberg ,Leipzig,LM
1919,19,Kim Kallstrom ,Grasshoppers,CDM
1920,19,Marcus Berg ,Panathinaikos,ST
1921,19,John Guidetti ,Celta,ST
1922,19,Zlatan Ibrahimovic ,Paris,ST
1923,19,Emir Kujovic ,Norrkoping,ST
